Variable1,Variable2,Correlation Coefficient,p.value,p.adjusted,Method
Target_fibrotic,hsa-let-7c-5p,-0.05764411027568921,0.5265285467683221,0.8886240772701443,Kendall
Target_lipidic,hsa-let-7c-5p,0.05388471177944861,0.5538432174640623,0.8961206541945261,Kendall
Target_necrotic,hsa-let-7c-5p,0.08085240133776843,0.374520551888389,0.8147390089656731,Kendall
Target_Calcific,hsa-let-7c-5p,0.05388471177944861,0.5538432174640623,0.8961206541945261,Kendall
Age,hsa-let-7d-3p,-0.015644053248944766,0.7898457764206781,0.964626193016168,Kendall
BMI,hsa-let-7d-3p,0.014862764582898385,0.7973134828323579,0.964626193016168,Kendall
WBC,hsa-let-7d-3p,-0.019070325139648802,0.7418418965270064,0.9566585611439493,Kendall
RBC,hsa-let-7d-3p,-0.04888577726634402,0.3981573339796539,0.827012304599417,Kendall
HGB,hsa-let-7d-3p,-0.072816440219272,0.21154250750383075,0.6971617976750596,Kendall
HCT,hsa-let-7d-3p,-0.05171476279420714,0.37261456378232033,0.8138891519559575,Kendall
PLT,hsa-let-7d-3p,3.2298144461015643e-4,0.9955453472383017,0.9990262750258483,Kendall
NE_abs,hsa-let-7d-3p,0.013838190094511475,0.8116736234074533,0.9685801205789674,Kendall
LY_abs,hsa-let-7d-3p,-0.050438550874770935,0.3902003773319983,0.821795876845406,Kendall
MO_abs,hsa-let-7d-3p,0.08917728677487922,0.14272126267517005,0.626554529832104,Kendall
Eo_Abs,hsa-let-7d-3p,-0.09639769908159258,0.12744683585617028,0.611536778436825,Kendall
Total_cholesterol,hsa-let-7d-3p,0.07167037527670501,0.21452736701205916,0.6997873671555407,Kendall
LDL,hsa-let-7d-3p,0.06332319686883202,0.2730418141466341,0.7454268790495504,Kendall
HDL,hsa-let-7d-3p,0.03265994168927013,0.5728103648365592,0.9005644602273951,Kendall
TG,hsa-let-7d-3p,0.037545139982768,0.5160287489090903,0.8851709692847824,Kendall
Creatinine,hsa-let-7d-3p,0.013874494984432894,0.811643094787276,0.9685801205789674,Kendall
ALAT,hsa-let-7d-3p,-0.07485347840923542,0.19769269600919204,0.6877309546016741,Kendall
ASAT,hsa-let-7d-3p,-0.12084545172715147,0.03948264832099741,0.4564270142586239,Kendall
Glucose,hsa-let-7d-3p,0.16659288368901637,0.0043722324284028394,0.20779485583567986,Kendall
HbA1c,hsa-let-7d-3p,-0.06747110071901206,0.3634095937104748,0.8126144939358018,Kendall
Target_fibrotic,hsa-let-7d-3p,-0.018796992481203006,0.836388283662991,0.9685801205789674,Kendall
Target_lipidic,hsa-let-7d-3p,-0.03759398496240601,0.6795839487928456,0.9371319798368609,Kendall
Target_necrotic,hsa-let-7d-3p,0.016922595628835253,0.8525480223992301,0.970855002115507,Kendall
Target_Calcific,hsa-let-7d-3p,0.06265664160401002,0.49121043500993206,0.8757813019517214,Kendall
Age,hsa-let-7d-5p,-0.2136561957705533,2.72817571539988e-4,0.0647988769919806,Kendall
BMI,hsa-let-7d-5p,0.007539083484078891,0.8963498039185682,0.9814546736638099,Kendall
WBC,hsa-let-7d-5p,0.03781742442947305,0.5135970228193014,0.8845263355175356,Kendall
RBC,hsa-let-7d-5p,0.08915732065315607,0.12332908904659495,0.6106409938547703,Kendall
HGB,hsa-let-7d-5p,0.0183397591610387,0.753018929998842,0.9571894560189103,Kendall
HCT,hsa-let-7d-5p,0.018677774453857696,0.7474424474860951,0.9567277638896071,Kendall
PLT,hsa-let-7d-5p,0.03542029842558048,0.5403519405150772,0.8922154095545277,Kendall
NE_abs,hsa-let-7d-5p,0.019892398260860245,0.7319674676952764,0.9551396071904356,Kendall
LY_abs,hsa-let-7d-5p,0.015645797776772764,0.7898260518633717,0.964626193016168,Kendall
MO_abs,hsa-let-7d-5p,-0.017514922819713123,0.7734400667895651,0.9617345165266544,Kendall
Eo_Abs,hsa-let-7d-5p,-0.006903160036533484,0.9130809072332008,0.9834687399345482,Kendall
Total_cholesterol,hsa-let-7d-5p,0.008703598796721298,0.8801871947242902,0.9791229646739197,Kendall
LDL,hsa-let-7d-5p,0.03365052736832669,0.5602505932074725,0.8967988334366759,Kendall
HDL,hsa-let-7d-5p,-0.09711751637634453,0.09356923240468482,0.564700459198913,Kendall
TG,hsa-let-7d-5p,0.038405773564034885,0.5064555274254563,0.8813708117500109,Kendall
Creatinine,hsa-let-7d-5p,0.009538715301797614,0.869860272852996,0.9768020086032041,Kendall
ALAT,hsa-let-7d-5p,0.03439798574297234,0.55388091019106,0.8961206541945261,Kendall
ASAT,hsa-let-7d-5p,-0.05697781027135377,0.33161721402317607,0.7951967345784039,Kendall
Glucose,hsa-let-7d-5p,0.11236853331180713,0.054563272476198056,0.49355780866753707,Kendall
HbA1c,hsa-let-7d-5p,-0.10537621348250199,0.1557538168365104,0.6401494152235988,Kendall
Target_fibrotic,hsa-let-7d-5p,-0.13408521303258145,0.14071230034011267,0.6256826534062245,Kendall
Target_lipidic,hsa-let-7d-5p,0.04260651629072681,0.6397118444517712,0.9201517066231163,Kendall
Target_necrotic,hsa-let-7d-5p,0.1673456678851486,0.06605780608374294,0.5217960645697493,Kendall
Target_Calcific,hsa-let-7d-5p,0.06766917293233082,0.4572058423950563,0.8625178680937285,Kendall
Age,hsa-let-7e-5p,0.15129878072231195,0.009951374194136112,0.29905745801004785,Kendall
BMI,hsa-let-7e-5p,-0.07840646823442046,0.17546612592433072,0.663061249833441,Kendall
WBC,hsa-let-7e-5p,-0.08457743070409214,0.14402487584099694,0.6282731759295673,Kendall
RBC,hsa-let-7e-5p,-0.07235956458806869,0.2110710910047996,0.6969675149275494,Kendall
HGB,hsa-let-7e-5p,-0.1064574185620057,0.06777132400077429,0.5274676606975518,Kendall
HCT,hsa-let-7e-5p,-0.03249716826942871,0.5752978044818915,0.9006841123367939,Kendall
PLT,hsa-let-7e-5p,-0.08515944089554457,0.14099939657511715,0.6256826534062245,Kendall
NE_abs,hsa-let-7e-5p,-0.10227287366724887,0.07824758139060813,0.5407241150396134,Kendall
LY_abs,hsa-let-7e-5p,0.008205837994810889,0.8888244360243225,0.980216841116585,Kendall
MO_abs,hsa-let-7e-5p,-0.0019461025355236802,0.9744828540681676,0.9953994507338395,Kendall
Eo_Abs,hsa-let-7e-5p,-0.03303655160341024,0.6014082397217424,0.9122449889457234,Kendall
Total_cholesterol,hsa-let-7e-5p,0.11443620640133559,0.04749652675143987,0.4790159854382111,Kendall
LDL,hsa-let-7e-5p,0.03644577884301197,0.5281364063367361,0.8887866031877445,Kendall
HDL,hsa-let-7e-5p,0.1809770366214012,0.00177920254439409,0.1555694507978482,Kendall
TG,hsa-let-7e-5p,-0.0209779435433804,0.7166874527449927,0.953552863532453,Kendall
Creatinine,hsa-let-7e-5p,-0.07999513514462091,0.16944539651804905,0.6554804439161067,Kendall
ALAT,hsa-let-7e-5p,-0.12136647799878922,0.036744199833821295,0.449205251407153,Kendall
ASAT,hsa-let-7e-5p,-0.14971712526196412,0.010739155386042983,0.30715899303815364,Kendall
Glucose,hsa-let-7e-5p,0.05988633073788171,0.30559836376847255,0.7755538229094101,Kendall
HbA1c,hsa-let-7e-5p,-0.0037905112763489926,0.9592768436942056,0.9938692956623455,Kendall
Target_fibrotic,hsa-let-7e-5p,0.06766917293233082,0.4572058423950563,0.8625178680937285,Kendall
Target_lipidic,hsa-let-7e-5p,-0.03383458646616541,0.7100954932997428,0.9493668008246561,Kendall
Target_necrotic,hsa-let-7e-5p,-0.07583829892922465,0.4048642116894924,0.8304657298924119,Kendall
Target_Calcific,hsa-let-7e-5p,-0.06892230576441102,0.4489160444000131,0.8563095302761812,Kendall
Age,hsa-let-7f-5p,-0.13707691413236217,0.019531317239735294,0.3854776881011367,Kendall
BMI,hsa-let-7f-5p,-0.03748001503513506,0.5172133447954477,0.8855768160498126,Kendall
WBC,hsa-let-7f-5p,0.0029090326484210037,0.9599233484910863,0.9938692956623455,Kendall
RBC,hsa-let-7f-5p,0.0710674295061389,0.21933698249883768,0.7079630437919372,Kendall
HGB,hsa-let-7f-5p,0.0020618664145546466,0.9717798360016748,0.9938692956623455,Kendall
HCT,hsa-let-7f-5p,0.062511164212622,0.2811580294131514,0.7530219678054602,Kendall
PLT,hsa-let-7f-5p,0.006997931299886722,0.9037168991421769,0.9815827069173628,Kendall
NE_abs,hsa-let-7f-5p,0.036757692438546104,0.5268002158164331,0.8886240772701443,Kendall
LY_abs,hsa-let-7f-5p,-0.056346754231034774,0.3371034409358387,0.798856920248789,Kendall
MO_abs,hsa-let-7f-5p,-0.01980445521444686,0.7447957198812958,0.9566585611439493,Kendall
Eo_Abs,hsa-let-7f-5p,-0.0024654142987619587,0.9689036886341413,0.9938692956623455,Kendall
Total_cholesterol,hsa-let-7f-5p,0.06393384301295274,0.26819524378705434,0.7437432707235103,Kendall
LDL,hsa-let-7f-5p,0.051712152281677755,0.3707311603407265,0.8137582766341129,Kendall
HDL,hsa-let-7f-5p,-0.03524686776366777,0.5428001477472285,0.8932961398511846,Kendall
TG,hsa-let-7f-5p,0.02721753700756534,0.6377651203795807,0.9195993613511726,Kendall
Creatinine,hsa-let-7f-5p,0.00433577968263528,0.9406356982417586,0.9902336373971012,Kendall
ALAT,hsa-let-7f-5p,0.0056248278573413895,0.9228871083978852,0.9860698371460451,Kendall
ASAT,hsa-let-7f-5p,-0.06528935265258771,0.2659299429385335,0.7437432707235103,Kendall
Glucose,hsa-let-7f-5p,0.0755656609674362,0.19610276817877773,0.685662876759097,Kendall
HbA1c,hsa-let-7f-5p,-0.08516015334197403,0.25131036840910836,0.7318302743435174,Kendall
Target_fibrotic,hsa-let-7f-5p,-0.10776942355889722,0.23640434834437568,0.7195220240757608,Kendall
Target_lipidic,hsa-let-7f-5p,0.09398496240601502,0.301801737734658,0.7723916444631751,Kendall
Target_necrotic,hsa-let-7f-5p,0.12973989982107026,0.15415994988001439,0.6399736882047151,Kendall
Target_Calcific,hsa-let-7f-5p,-0.008771929824561403,0.9232236323685895,0.9860698371460451,Kendall
Age,hsa-let-7g-5p,-0.17886732211206077,0.0023100707997085034,0.16705821033215987,Kendall
BMI,hsa-let-7g-5p,-0.06699014181567244,0.24703718511509956,0.7304581673680149,Kendall
WBC,hsa-let-7g-5p,0.05721097541894641,0.3230324119026061,0.789753587814136,Kendall
RBC,hsa-let-7g-5p,0.07300563212903359,0.20702366253657975,0.6915514003646757,Kendall
HGB,hsa-let-7g-5p,-0.01226267920235132,0.8333595926903198,0.9685801205789674,Kendall
HCT,hsa-let-7g-5p,0.0255874713616432,0.6591117068793156,0.9258818518413975,Kendall
PLT,hsa-let-7g-5p,0.09226503267696802,0.11073282508868117,0.5986862066908727,Kendall
NE_abs,hsa-let-7g-5p,0.0869211315311502,0.1344927458224789,0.619242000819007,Kendall
LY_abs,hsa-let-7g-5p,-0.014551686044131311,0.8042136484633828,0.9664943812261798,Kendall
MO_abs,hsa-let-7g-5p,-0.017057016340766375,0.7792075702801108,0.9633897329612481,Kendall
Eo_Abs,hsa-let-7g-5p,-0.018737148670590884,0.7670214368670552,0.9590338982329908,Kendall
Total_cholesterol,hsa-let-7g-5p,0.011927153906618075,0.8363546320516255,0.9685801205789674,Kendall
LDL,hsa-let-7g-5p,0.029780179172608605,0.6062203987380138,0.9128523428870103,Kendall
HDL,hsa-let-7g-5p,-0.03804937101093187,0.5111982471484484,0.883052420264478,Kendall
TG,hsa-let-7g-5p,-0.003334955127409192,0.9539954629382419,0.9938692956623455,Kendall
Creatinine,hsa-let-7g-5p,-0.07219073171587741,0.21499743089730547,0.7001902146669693,Kendall
ALAT,hsa-let-7g-5p,0.07398812027733674,0.20292540738910383,0.6889621780684537,Kendall
ASAT,hsa-let-7g-5p,-0.021106943152344102,0.7191108479360719,0.9542065658352192,Kendall
Glucose,hsa-let-7g-5p,0.0929871390002745,0.111660953837646,0.5986862066908727,Kendall
HbA1c,hsa-let-7g-5p,-0.1513677503022031,0.041446095185570894,0.46240344581306875,Kendall
Target_fibrotic,hsa-let-7g-5p,-0.16541353383458643,0.06916566313174119,0.5298922759950696,Kendall
Target_lipidic,hsa-let-7g-5p,0.17167919799498743,0.05927142944734561,0.5058157007948602,Kendall
Target_necrotic,hsa-let-7g-5p,0.18489502631505184,0.04227695648846505,0.4637001214849479,Kendall
Target_Calcific,hsa-let-7g-5p,-0.05639097744360901,0.5355564625561464,0.8901970392766195,Kendall
Age,hsa-let-7i-5p,-0.20709225734442266,4.1869990249644435e-4,0.08011124801098636,Kendall
BMI,hsa-let-7i-5p,-0.0025848286231127627,0.9643740889913432,0.9938692956623455,Kendall
WBC,hsa-let-7i-5p,0.02812064893473637,0.6271459844231926,0.918637639999598,Kendall
RBC,hsa-let-7i-5p,0.1302902874279213,0.024330452132232092,0.40875159582149917,Kendall
HGB,hsa-let-7i-5p,0.07238236307936576,0.2142780455073004,0.6997873671555407,Kendall
HCT,hsa-let-7i-5p,0.13009663709189898,0.024901549174359716,0.4096012702487567,Kendall
PLT,hsa-let-7i-5p,0.032836446868699236,0.5702957340829042,0.8995608487587331,Kendall
NE_abs,hsa-let-7i-5p,0.0925428962570455,0.11106736158951167,0.5986862066908727,Kendall
LY_abs,hsa-let-7i-5p,-0.08457483693318422,0.14964452251287166,0.6339184938921649,Kendall
MO_abs,hsa-let-7i-5p,0.058039646206500345,0.3401094935284451,0.7996418760304792,Kendall
Eo_Abs,hsa-let-7i-5p,0.030571137304648287,0.6288166139052347,0.918637639999598,Kendall
Total_cholesterol,hsa-let-7i-5p,0.031698291913984974,0.5830315830153098,0.9033724059658849,Kendall
LDL,hsa-let-7i-5p,0.028920101795782364,0.6166606457687172,0.9178941512831504,Kendall
HDL,hsa-let-7i-5p,-0.09992001962360864,0.08448203816551199,0.551868033701044,Kendall
TG,hsa-let-7i-5p,0.017105092427679405,0.7673106581245662,0.9590338982329908,Kendall
Creatinine,hsa-let-7i-5p,0.03555339339760929,0.5414237985791289,0.8926106090505123,Kendall
ALAT,hsa-let-7i-5p,0.05797899483721125,0.31839567509996597,0.7854894226356862,Kendall
ASAT,hsa-let-7i-5p,-0.037730027914811996,0.5202935430344737,0.8859496448267753,Kendall
Glucose,hsa-let-7i-5p,0.08318755760680295,0.15469962924343203,0.6400020284125947,Kendall
HbA1c,hsa-let-7i-5p,-0.10891402400709439,0.14233383274012684,0.6264570190682877,Kendall
Target_fibrotic,hsa-let-7i-5p,-0.03759398496240601,0.6795839487928456,0.9371319798368609,Kendall
Target_lipidic,hsa-let-7i-5p,0.07393483709273183,0.41662285333467997,0.837374273581381,Kendall
Target_necrotic,hsa-let-7i-5p,0.06581009411213709,0.4697897018790829,0.8669756604505467,Kendall
Target_Calcific,hsa-let-7i-5p,-0.05639097744360901,0.5355564625561464,0.8901970392766195,Kendall
Age,hsa-miR-1-3p,-0.17931796846162987,0.0028360420312871794,0.17845336867919168,Kendall
BMI,hsa-miR-1-3p,0.02710797044980281,0.6471569783602806,0.9221596496604916,Kendall
WBC,hsa-miR-1-3p,-0.04301128928998607,0.46784797138276485,0.8667083790609004,Kendall
RBC,hsa-miR-1-3p,0.00522048911416515,0.9297445011659645,0.987158011309297,Kendall
HGB,hsa-miR-1-3p,0.01444053550235163,0.8087055524123541,0.9681110601522047,Kendall
HCT,hsa-miR-1-3p,-0.00478888208714651,0.9357000376639735,0.9894230671522027,Kendall
PLT,hsa-miR-1-3p,-0.020656461452880883,0.727156196165553,0.955008703044074,Kendall
NE_abs,hsa-miR-1-3p,-0.03512906098379927,0.5545002059914041,0.8961206541945261,Kendall
LY_abs,hsa-miR-1-3p,-0.021105223054990657,0.7253502106401468,0.9550016226349155,Kendall
MO_abs,hsa-miR-1-3p,-0.028340969554732368,0.6490092596580259,0.9226781796748158,Kendall
Eo_Abs,hsa-miR-1-3p,0.031535393922847245,0.6261269912340354,0.918637639999598,Kendall
Total_cholesterol,hsa-miR-1-3p,0.008313076416619394,0.8881234814082107,0.9799552029502906,Kendall
LDL,hsa-miR-1-3p,0.03304840210225741,0.5761785320019558,0.9006841123367939,Kendall
HDL,hsa-miR-1-3p,-0.11719256292850981,0.04801444100516634,0.4814024303400083,Kendall
TG,hsa-miR-1-3p,0.03595505652569867,0.5433467301968686,0.8935537105154219,Kendall
